texto,categoria
se requiere factura de pago institucional,Financiero
solicitud relacionada con incapacidad médica laboral,Talento_Humano
solicitud relacionada con concepto jurídico institucional,Juridico
se requiere reporte de nómina,Talento_Humano
acta de comité institucional prioritario,Administrativo
acción de tutela institucional,Juridico
control de inventario prioritario,Administrativo
proceso correspondiente a reporte de gestión administrativa,Administrativo
externo notificación judicial,Juridico
proceso correspondiente a historial académico del estudiante,Academico
certificación laboral institucional,Talento_Humano
se requiere certificado de estudios,Academico
confidencial comprobante de egreso,Financiero
documento asociado a plan operativo institucional,Administrativo
documento asociado a demanda administrativa,Juridico
proceso correspondiente a matrícula académica ordinaria,Academico
confidencial comunicado organizacional,Administrativo
proceso correspondiente a derecho de petición,Juridico
interno afiliación de seguridad social,Talento_Humano
proceso correspondiente a orden de pago administrativa,Financiero
documento asociado a incapacidad médica laboral,Talento_Humano
documento asociado a historial académico del estudiante,Academico
proceso correspondiente a factura de pago institucional,Financiero
documento asociado a solicitud de vacaciones,Talento_Humano
estado financiero trimestral urgente,Financiero
prioritario certificación laboral,Talento_Humano
proceso correspondiente a solicitud de presupuesto anual,Financiero
acta de reunión administrativa confidencial,Administrativo
se requiere acta de grado universitario,Academico
solicitud de certificado académico interno,Academico
se requiere comprobante de egreso,Financiero
se requiere factura de pago institucional,Financiero
solicitud relacionada con circular administrativa general,Administrativo
confidencial orden de pago administrativa,Financiero
documento asociado a solicitud de presupuesto anual,Financiero
institucional cancelación de semestre académico,Academico
solicitud relacionada con acuerdo jurídico,Juridico
se requiere reporte de nómina,Talento_Humano
se requiere solicitud de vacaciones,Talento_Humano
control de inventario externo,Administrativo
proceso correspondiente a solicitud administrativa interna,Administrativo
se requiere acuerdo jurídico,Juridico
proceso correspondiente a hoja de vida institucional,Talento_Humano
solicitud relacionada con factura de pago institucional,Financiero
proceso correspondiente a hoja de vida institucional,Talento_Humano
proceso correspondiente a contrato laboral,Talento_Humano
interno demanda administrativa,Juridico
oficial control de inventario,Administrativo
solicitud relacionada con certificación laboral,Talento_Humano
solicitud relacionada con control de inventario,Administrativo
general demanda administrativa,Juridico
solicitud relacionada con control de inventario,Administrativo
proceso correspondiente a afiliación de seguridad social,Talento_Humano
urgente certificación laboral,Talento_Humano
general proceso de selección,Talento_Humano
documento asociado a reporte de notas semestrales,Academico
proceso disciplinario urgente,Juridico
se requiere reporte de gestión administrativa,Administrativo
documento asociado a circular administrativa general,Administrativo
proceso correspondiente a reporte de gestión administrativa,Administrativo
proceso correspondiente a cancelación de semestre académico,Academico
contrato de prestación de servicios prioritario,Juridico
urgente reporte de nómina,Talento_Humano
se requiere solicitud administrativa interna,Administrativo
prioritario reporte de gestión administrativa,Administrativo
certificado de estudios oficial,Academico
proceso correspondiente a memorando administrativo interno,Administrativo
derecho de petición institucional,Juridico
hoja de vida institucional general,Talento_Humano
proceso correspondiente a acta de grado universitario,Academico
documento asociado a reporte de ingresos económicos,Financiero
se requiere acta de grado universitario,Academico
oficial solicitud administrativa interna,Administrativo
documento asociado a comunicado organizacional,Administrativo
se requiere contrato laboral,Talento_Humano
urgente proceso de selección,Talento_Humano
solicitud relacionada con solicitud de vacaciones,Talento_Humano
solicitud relacionada con proceso disciplinario,Juridico
proceso correspondiente a contrato laboral,Talento_Humano
se requiere derecho de petición,Juridico
se requiere comprobante de egreso,Financiero
plan operativo institucional confidencial,Administrativo
solicitud relacionada con proceso disciplinario,Juridico
proceso correspondiente a solicitud de presupuesto anual,Financiero
proceso correspondiente a balance general financiero,Financiero
documento asociado a informe de tesorería,Financiero
institucional acta de reunión administrativa,Administrativo
evaluación de desempeño institucional,Talento_Humano
urgente solicitud de vacaciones,Talento_Humano
comunicado organizacional general,Administrativo
se requiere reporte de gestión administrativa,Administrativo
general proceso de selección,Talento_Humano
solicitud relacionada con concepto jurídico institucional,Juridico
solicitud relacionada con circular administrativa general,Administrativo
solicitud relacionada con certificación laboral,Talento_Humano
solicitud de paz y salvo interno,Academico
proceso correspondiente a cancelación de semestre académico,Academico
circular administrativa general prioritario,Administrativo
oficial plan operativo institucional,Administrativo
cancelación de semestre académico oficial,Academico
se requiere comprobante de egreso,Financiero
se requiere certificación laboral,Talento_Humano
se requiere acta de reunión administrativa,Administrativo
solicitud relacionada con incapacidad médica laboral,Talento_Humano
documento asociado a solicitud de homologación de materias,Academico
documento asociado a registro documental interno,Administrativo
se requiere solicitud de presupuesto anual,Financiero
se requiere incapacidad médica laboral,Talento_Humano
solicitud relacionada con factura de pago institucional,Financiero
proceso correspondiente a acta de grado universitario,Academico
proceso correspondiente a notificación judicial,Juridico
reporte de gestión administrativa confidencial,Administrativo
demanda administrativa oficial,Juridico
se requiere derecho de petición,Juridico
documento asociado a acción de tutela,Juridico
solicitud relacionada con certificación laboral,Talento_Humano
se requiere plan operativo institucional,Administrativo
solicitud de presupuesto anual externo,Financiero
documento asociado a proceso de selección,Talento_Humano
se requiere afiliación de seguridad social,Talento_Humano
solicitud relacionada con concepto jurídico institucional,Juridico
se requiere notificación judicial,Juridico
se requiere control de cartera vencida,Financiero
documento asociado a documento legal contractual,Juridico
se requiere proceso de selección,Talento_Humano
urgente memorando administrativo interno,Administrativo
solicitud relacionada con acta de reunión administrativa,Administrativo
se requiere plan operativo institucional,Administrativo
solicitud relacionada con reporte de ingresos económicos,Financiero
se requiere comprobante de egreso,Financiero
solicitud administrativa interna oficial,Administrativo
confidencial historial académico del estudiante,Academico
se requiere estado financiero trimestral,Financiero
documento asociado a orden de pago administrativa,Financiero
se requiere factura de pago institucional,Financiero
solicitud relacionada con orden de pago administrativa,Financiero
prioritario evaluación de desempeño,Talento_Humano
proceso correspondiente a derecho de petición,Juridico
interno solicitud de presupuesto anual,Financiero
solicitud relacionada con orden de pago administrativa,Financiero
se requiere reporte de ingresos económicos,Financiero
memorando administrativo interno urgente,Administrativo
se requiere balance general financiero,Financiero
se requiere hoja de vida institucional,Talento_Humano
documento asociado a cancelación de semestre académico,Academico
reporte de notas semestrales interno,Academico
solicitud relacionada con contrato de prestación de servicios,Juridico
reporte de notas semestrales urgente,Academico
proceso correspondiente a solicitud de permisos laborales,Talento_Humano
proceso correspondiente a comprobante de egreso,Financiero
documento asociado a resolución jurídica,Juridico
solicitud relacionada con notificación judicial,Juridico
certificación laboral institucional,Talento_Humano
general solicitud de vacaciones,Talento_Humano
solicitud de homologación de materias institucional,Academico
documento asociado a documento legal contractual,Juridico
se requiere evaluación de desempeño,Talento_Humano
solicitud relacionada con evaluación de desempeño,Talento_Humano
acuerdo jurídico oficial,Juridico
urgente memorando administrativo interno,Administrativo
se requiere cancelación de semestre académico,Academico
registro de calificaciones interno,Academico
solicitud relacionada con control de cartera vencida,Financiero
solicitud relacionada con acuerdo jurídico,Juridico
registro de calificaciones urgente,Academico
proceso correspondiente a demanda administrativa,Juridico
confidencial reporte contable mensual,Financiero
se requiere solicitud de paz y salvo,Academico
institucional concepto jurídico institucional,Juridico
proceso correspondiente a solicitud de permisos laborales,Talento_Humano
proceso correspondiente a notificación judicial,Juridico
solicitud relacionada con balance general financiero,Financiero
se requiere contrato laboral,Talento_Humano
documento asociado a reporte contable mensual,Financiero
documento asociado a solicitud de permisos laborales,Talento_Humano
proceso correspondiente a acta de reunión administrativa,Administrativo
proceso correspondiente a reporte de ingresos económicos,Financiero
prioritario proceso disciplinario,Juridico
solicitud relacionada con solicitud de paz y salvo,Academico
se requiere contrato laboral,Talento_Humano
solicitud relacionada con matrícula académica ordinaria,Academico
general solicitud de presupuesto anual,Financiero
proceso correspondiente a solicitud de certificado académico,Academico
solicitud de permisos laborales confidencial,Talento_Humano
confidencial solicitud de vacaciones,Talento_Humano
urgente solicitud de homologación de materias,Academico
documento asociado a comunicado organizacional,Administrativo
documento asociado a incapacidad médica laboral,Talento_Humano
interno reporte de gestión administrativa,Administrativo
documento asociado a concepto jurídico institucional,Juridico
solicitud relacionada con proceso de selección,Talento_Humano
solicitud de presupuesto anual prioritario,Financiero
prioritario afiliación de seguridad social,Talento_Humano
solicitud administrativa interna confidencial,Administrativo
proceso correspondiente a acta de comité institucional,Administrativo
se requiere solicitud de paz y salvo,Academico
oficial derecho de petición,Juridico
factura de pago institucional urgente,Financiero
proceso correspondiente a solicitud de homologación de materias,Academico
documento asociado a certificado de estudios,Academico
documento asociado a comprobante de egreso,Financiero
oficial proceso de selección,Talento_Humano
solicitud relacionada con cancelación de semestre académico,Academico
documento asociado a acuerdo jurídico,Juridico
proceso correspondiente a comunicado organizacional,Administrativo
comprobante de egreso urgente,Financiero
proceso correspondiente a reporte de nómina,Talento_Humano
proceso correspondiente a memorando administrativo interno,Administrativo
proceso correspondiente a control de cartera vencida,Financiero
documento asociado a memorando administrativo interno,Administrativo
confidencial comunicado organizacional,Administrativo
historial académico del estudiante oficial,Academico
se requiere derecho de petición,Juridico
proceso correspondiente a demanda administrativa,Juridico
documento asociado a notificación judicial,Juridico
control de cartera vencida prioritario,Financiero
concepto jurídico institucional externo,Juridico
control de cartera vencida externo,Financiero
institucional reporte de nómina,Talento_Humano
solicitud relacionada con orden de pago administrativa,Financiero
proceso correspondiente a historial académico del estudiante,Academico
documento asociado a solicitud de homologación de materias,Academico
institucional control de cartera vencida,Financiero
proceso correspondiente a proceso de selección,Talento_Humano
documento asociado a estado financiero trimestral,Financiero
proceso correspondiente a proceso de selección,Talento_Humano
control de cartera vencida urgente,Financiero
prioritario memorando administrativo interno,Administrativo
documento asociado a memorando administrativo interno,Administrativo
documento asociado a notificación judicial,Juridico
certificado de estudios institucional,Academico
solicitud de permisos laborales interno,Talento_Humano
prioritario proceso disciplinario,Juridico
proceso correspondiente a circular administrativa general,Administrativo
documento asociado a solicitud de vacaciones,Talento_Humano
se requiere registro documental interno,Administrativo
documento asociado a proceso disciplinario,Juridico
institucional evaluación de desempeño,Talento_Humano
solicitud relacionada con solicitud de presupuesto anual,Financiero
proceso correspondiente a resolución jurídica,Juridico
se requiere afiliación de seguridad social,Talento_Humano
documento asociado a balance general financiero,Financiero
documento asociado a concepto jurídico institucional,Juridico
solicitud relacionada con certificado de estudios,Academico
proceso correspondiente a plan operativo institucional,Administrativo
proceso correspondiente a solicitud de permisos laborales,Talento_Humano
solicitud de permisos laborales prioritario,Talento_Humano
solicitud relacionada con notificación judicial,Juridico
documento asociado a contrato laboral,Talento_Humano
documento asociado a reporte de nómina,Talento_Humano
solicitud relacionada con solicitud de permisos laborales,Talento_Humano
documento asociado a balance general financiero,Financiero
se requiere solicitud de certificado académico,Academico
documento asociado a comunicado organizacional,Administrativo
interno solicitud de permisos laborales,Talento_Humano
se requiere reporte de gestión administrativa,Administrativo
reporte de gestión administrativa oficial,Administrativo
solicitud relacionada con solicitud de homologación de materias,Academico
proceso correspondiente a reporte contable mensual,Financiero
documento asociado a solicitud de permisos laborales,Talento_Humano
solicitud relacionada con solicitud de permisos laborales,Talento_Humano
externo reporte de notas semestrales,Academico
se requiere acción de tutela,Juridico
proceso correspondiente a informe de tesorería,Financiero
documento asociado a afiliación de seguridad social,Talento_Humano
se requiere proceso de selección,Talento_Humano
contrato laboral interno,Talento_Humano
documento asociado a estado financiero trimestral,Financiero
solicitud relacionada con reporte de gestión administrativa,Administrativo
comprobante de egreso general,Financiero
solicitud relacionada con reporte de notas semestrales,Academico
se requiere documento legal contractual,Juridico
documento asociado a certificado de estudios,Academico
solicitud relacionada con notificación judicial,Juridico
proceso correspondiente a notificación judicial,Juridico
institucional solicitud de paz y salvo,Academico
reporte de nómina externo,Talento_Humano
externo acción de tutela,Juridico
proceso correspondiente a evaluación de desempeño,Talento_Humano
solicitud relacionada con registro documental interno,Administrativo
se requiere solicitud de certificado académico,Academico
certificado de estudios institucional,Academico
reporte de ingresos económicos oficial,Financiero
se requiere comprobante de egreso,Financiero
proceso correspondiente a solicitud administrativa interna,Administrativo
proceso de selección institucional,Talento_Humano
documento asociado a documento legal contractual,Juridico
se requiere historial académico del estudiante,Academico
institucional reporte contable mensual,Financiero
documento asociado a derecho de petición,Juridico
solicitud de paz y salvo interno,Academico
oficial factura de pago institucional,Financiero
documento asociado a informe de tesorería,Financiero
documento asociado a solicitud de paz y salvo,Academico
se requiere derecho de petición,Juridico
proceso correspondiente a historial académico del estudiante,Academico
balance general financiero externo,Financiero
solicitud relacionada con orden de pago administrativa,Financiero
urgente cancelación de semestre académico,Academico
confidencial evaluación de desempeño,Talento_Humano
se requiere reporte de notas semestrales,Academico
se requiere solicitud de permisos laborales,Talento_Humano
se requiere historial académico del estudiante,Academico
documento asociado a matrícula académica ordinaria,Academico
se requiere orden de pago administrativa,Financiero
solicitud relacionada con reporte contable mensual,Financiero
proceso correspondiente a solicitud de certificado académico,Academico
se requiere incapacidad médica laboral,Talento_Humano
se requiere control de cartera vencida,Financiero
general afiliación de seguridad social,Talento_Humano
se requiere solicitud de certificado académico,Academico
solicitud relacionada con hoja de vida institucional,Talento_Humano
solicitud de permisos laborales oficial,Talento_Humano
proceso correspondiente a incapacidad médica laboral,Talento_Humano
se requiere acta de reunión administrativa,Administrativo
general circular administrativa general,Administrativo
documento asociado a circular administrativa general,Administrativo
documento asociado a registro de calificaciones,Academico
se requiere reporte de notas semestrales,Academico
orden de pago administrativa interno,Financiero
solicitud relacionada con acuerdo jurídico,Juridico
proceso correspondiente a afiliación de seguridad social,Talento_Humano
se requiere acuerdo jurídico,Juridico
proceso correspondiente a balance general financiero,Financiero
se requiere documento legal contractual,Juridico
certificado de estudios oficial,Academico
interno demanda administrativa,Juridico
se requiere registro de calificaciones,Academico
documento asociado a contrato de prestación de servicios,Juridico
se requiere reporte contable mensual,Financiero
se requiere plan operativo institucional,Administrativo
documento asociado a control de cartera vencida,Financiero
proceso correspondiente a informe de tesorería,Financiero
externo control de inventario,Administrativo
documento asociado a acta de grado universitario,Academico
documento asociado a solicitud de presupuesto anual,Financiero
documento asociado a reporte de ingresos económicos,Financiero
oficial control de inventario,Administrativo
se requiere acta de reunión administrativa,Administrativo
documento asociado a registro documental interno,Administrativo
solicitud relacionada con cancelación de semestre académico,Academico
se requiere concepto jurídico institucional,Juridico
se requiere notificación judicial,Juridico
urgente solicitud de permisos laborales,Talento_Humano
se requiere reporte de ingresos económicos,Financiero
proceso correspondiente a memorando administrativo interno,Administrativo
se requiere reporte de notas semestrales,Academico
solicitud relacionada con solicitud de paz y salvo,Academico
documento asociado a balance general financiero,Financiero
se requiere control de inventario,Administrativo
solicitud de certificado académico prioritario,Academico
hoja de vida institucional oficial,Talento_Humano
documento asociado a estado financiero trimestral,Financiero
confidencial control de inventario,Administrativo
solicitud relacionada con resolución jurídica,Juridico
documento asociado a registro documental interno,Administrativo
solicitud relacionada con factura de pago institucional,Financiero
se requiere reporte de ingresos económicos,Financiero
proceso correspondiente a contrato laboral,Talento_Humano
interno matrícula académica ordinaria,Academico
proceso correspondiente a reporte de notas semestrales,Academico
documento asociado a solicitud de presupuesto anual,Financiero
proceso correspondiente a matrícula académica ordinaria,Academico
institucional solicitud de presupuesto anual,Financiero
concepto jurídico institucional prioritario,Juridico
proceso correspondiente a control de cartera vencida,Financiero
proceso correspondiente a solicitud de presupuesto anual,Financiero
orden de pago administrativa externo,Financiero
documento asociado a demanda administrativa,Juridico
documento asociado a solicitud administrativa interna,Administrativo
cancelación de semestre académico interno,Academico
documento asociado a proceso de selección,Talento_Humano
se requiere acta de comité institucional,Administrativo
solicitud relacionada con control de cartera vencida,Financiero
solicitud relacionada con solicitud de presupuesto anual,Financiero
urgente certificado de estudios,Academico
solicitud de paz y salvo confidencial,Academico
solicitud relacionada con reporte de gestión administrativa,Administrativo
proceso correspondiente a factura de pago institucional,Financiero
externo orden de pago administrativa,Financiero
proceso correspondiente a plan operativo institucional,Administrativo
balance general financiero externo,Financiero
solicitud relacionada con solicitud de paz y salvo,Academico
solicitud relacionada con comunicado organizacional,Administrativo
proceso correspondiente a acta de comité institucional,Administrativo
documento asociado a solicitud de homologación de materias,Academico
se requiere solicitud de presupuesto anual,Financiero
proceso correspondiente a proceso de selección,Talento_Humano
general solicitud de presupuesto anual,Financiero
institucional solicitud de homologación de materias,Academico
solicitud relacionada con reporte de gestión administrativa,Administrativo
se requiere cancelación de semestre académico,Academico
solicitud relacionada con solicitud de presupuesto anual,Financiero
documento asociado a certificado de estudios,Academico
confidencial reporte de notas semestrales,Academico
documento asociado a reporte de gestión administrativa,Administrativo
se requiere reporte de gestión administrativa,Administrativo
documento asociado a incapacidad médica laboral,Talento_Humano
solicitud relacionada con reporte de notas semestrales,Academico
se requiere informe de tesorería,Financiero
incapacidad médica laboral oficial,Talento_Humano
solicitud relacionada con reporte de gestión administrativa,Administrativo
solicitud relacionada con concepto jurídico institucional,Juridico
confidencial documento legal contractual,Juridico
acción de tutela externo,Juridico
documento asociado a factura de pago institucional,Financiero
solicitud relacionada con circular administrativa general,Administrativo
urgente certificado de estudios,Academico
documento asociado a derecho de petición,Juridico
externo registro de calificaciones,Academico
institucional factura de pago institucional,Financiero
solicitud relacionada con solicitud de certificado académico,Academico
proceso correspondiente a proceso disciplinario,Juridico
reporte de nómina confidencial,Talento_Humano
certificado de estudios urgente,Academico
confidencial solicitud administrativa interna,Administrativo
proceso correspondiente a certificado de estudios,Academico
documento asociado a solicitud de paz y salvo,Academico
se requiere proceso de selección,Talento_Humano
proceso correspondiente a concepto jurídico institucional,Juridico
derecho de petición externo,Juridico
proceso correspondiente a memorando administrativo interno,Administrativo
se requiere proceso disciplinario,Juridico
proceso correspondiente a afiliación de seguridad social,Talento_Humano
se requiere proceso de selección,Talento_Humano
solicitud relacionada con hoja de vida institucional,Talento_Humano
documento asociado a evaluación de desempeño,Talento_Humano
proceso correspondiente a reporte contable mensual,Financiero
se requiere factura de pago institucional,Financiero
acta de comité institucional externo,Administrativo
circular administrativa general oficial,Administrativo
se requiere acción de tutela,Juridico
general comprobante de egreso,Financiero
proceso correspondiente a acta de comité institucional,Administrativo
se requiere comunicado organizacional,Administrativo
institucional registro de calificaciones,Academico
se requiere reporte de notas semestrales,Academico
proceso correspondiente a balance general financiero,Financiero
reporte de gestión administrativa urgente,Administrativo
proceso correspondiente a afiliación de seguridad social,Talento_Humano
se requiere contrato laboral,Talento_Humano
documento asociado a solicitud de presupuesto anual,Financiero
se requiere solicitud de permisos laborales,Talento_Humano
solicitud relacionada con memorando administrativo interno,Administrativo
interno reporte de notas semestrales,Academico
proceso correspondiente a acuerdo jurídico,Juridico
confidencial matrícula académica ordinaria,Academico
proceso correspondiente a evaluación de desempeño,Talento_Humano
resolución jurídica institucional,Juridico
control de inventario prioritario,Administrativo
se requiere reporte de gestión administrativa,Administrativo
documento asociado a plan operativo institucional,Administrativo
factura de pago institucional general,Financiero
interno notificación judicial,Juridico
control de cartera vencida prioritario,Financiero
urgente reporte de ingresos económicos,Financiero
interno afiliación de seguridad social,Talento_Humano
solicitud relacionada con solicitud de homologación de materias,Academico
memorando administrativo interno general,Administrativo
cancelación de semestre académico externo,Academico
proceso correspondiente a incapacidad médica laboral,Talento_Humano
derecho de petición urgente,Juridico
proceso correspondiente a solicitud de homologación de materias,Academico
confidencial reporte de nómina,Talento_Humano
documento asociado a solicitud de presupuesto anual,Financiero
solicitud relacionada con informe de tesorería,Financiero
se requiere cancelación de semestre académico,Academico
documento asociado a acta de grado universitario,Academico
institucional comprobante de egreso,Financiero
solicitud relacionada con documento legal contractual,Juridico
oficial registro de calificaciones,Academico
solicitud relacionada con comprobante de egreso,Financiero
proceso correspondiente a circular administrativa general,Administrativo
se requiere solicitud de vacaciones,Talento_Humano
proceso correspondiente a registro documental interno,Administrativo
memorando administrativo interno interno,Administrativo
prioritario solicitud administrativa interna,Administrativo
se requiere memorando administrativo interno,Administrativo
documento asociado a derecho de petición,Juridico
solicitud relacionada con control de inventario,Administrativo
se requiere documento legal contractual,Juridico
interno certificado de estudios,Academico
se requiere plan operativo institucional,Administrativo
proceso correspondiente a solicitud de paz y salvo,Academico
prioritario control de cartera vencida,Financiero
reporte de notas semestrales general,Academico
proceso disciplinario externo,Juridico
solicitud relacionada con contrato laboral,Talento_Humano
urgente reporte de notas semestrales,Academico
general control de inventario,Administrativo
solicitud relacionada con reporte de notas semestrales,Academico
balance general financiero general,Financiero
solicitud relacionada con hoja de vida institucional,Talento_Humano
proceso correspondiente a factura de pago institucional,Financiero
oficial solicitud administrativa interna,Administrativo
solicitud relacionada con factura de pago institucional,Financiero
se requiere informe de tesorería,Financiero
proceso disciplinario institucional,Juridico
se requiere acción de tutela,Juridico
solicitud de paz y salvo externo,Academico
proceso correspondiente a memorando administrativo interno,Administrativo
se requiere solicitud administrativa interna,Administrativo
se requiere informe de tesorería,Financiero
documento asociado a hoja de vida institucional,Talento_Humano
solicitud relacionada con afiliación de seguridad social,Talento_Humano
solicitud relacionada con acción de tutela,Juridico
documento asociado a estado financiero trimestral,Financiero
se requiere solicitud de homologación de materias,Academico
solicitud relacionada con control de inventario,Administrativo
documento asociado a factura de pago institucional,Financiero
documento asociado a factura de pago institucional,Financiero
documento asociado a registro de calificaciones,Academico
oficial reporte de ingresos económicos,Financiero
solicitud relacionada con historial académico del estudiante,Academico
se requiere resolución jurídica,Juridico
proceso correspondiente a reporte de gestión administrativa,Administrativo
documento asociado a comprobante de egreso,Financiero
se requiere comprobante de egreso,Financiero
acta de comité institucional externo,Administrativo
proceso correspondiente a reporte contable mensual,Financiero
prioritario documento legal contractual,Juridico
solicitud administrativa interna confidencial,Administrativo
se requiere afiliación de seguridad social,Talento_Humano
proceso correspondiente a circular administrativa general,Administrativo
proceso correspondiente a factura de pago institucional,Financiero
acuerdo jurídico confidencial,Juridico
solicitud relacionada con balance general financiero,Financiero
se requiere orden de pago administrativa,Financiero
proceso correspondiente a acta de comité institucional,Administrativo
general reporte de gestión administrativa,Administrativo
documento asociado a certificación laboral,Talento_Humano
acta de reunión administrativa oficial,Administrativo
documento asociado a documento legal contractual,Juridico
cancelación de semestre académico prioritario,Academico
documento asociado a solicitud de certificado académico,Academico
documento asociado a evaluación de desempeño,Talento_Humano
proceso correspondiente a registro documental interno,Administrativo
se requiere concepto jurídico institucional,Juridico
documento asociado a factura de pago institucional,Financiero
solicitud relacionada con solicitud administrativa interna,Administrativo
proceso correspondiente a memorando administrativo interno,Administrativo
se requiere plan operativo institucional,Administrativo
proceso correspondiente a control de cartera vencida,Financiero
prioritario comunicado organizacional,Administrativo
registro de calificaciones interno,Academico
estado financiero trimestral interno,Financiero
proceso correspondiente a demanda administrativa,Juridico
proceso disciplinario confidencial,Juridico
documento asociado a balance general financiero,Financiero
demanda administrativa urgente,Juridico
proceso correspondiente a informe de tesorería,Financiero
interno documento legal contractual,Juridico
solicitud relacionada con proceso disciplinario,Juridico
solicitud de presupuesto anual interno,Financiero
oficial acta de reunión administrativa,Administrativo
solicitud relacionada con reporte de ingresos económicos,Financiero
proceso correspondiente a solicitud de paz y salvo,Academico
proceso correspondiente a acuerdo jurídico,Juridico
documento asociado a concepto jurídico institucional,Juridico
documento asociado a cancelación de semestre académico,Academico
se requiere evaluación de desempeño,Talento_Humano
contrato laboral confidencial,Talento_Humano
proceso correspondiente a circular administrativa general,Administrativo
documento asociado a reporte de ingresos económicos,Financiero
solicitud de permisos laborales confidencial,Talento_Humano
urgente notificación judicial,Juridico
institucional documento legal contractual,Juridico
proceso correspondiente a reporte de notas semestrales,Academico
confidencial reporte de gestión administrativa,Administrativo
proceso correspondiente a acta de grado universitario,Academico
se requiere solicitud de presupuesto anual,Financiero
solicitud relacionada con reporte de notas semestrales,Academico
solicitud relacionada con incapacidad médica laboral,Talento_Humano
se requiere plan operativo institucional,Administrativo
solicitud relacionada con comunicado organizacional,Administrativo
interno acta de grado universitario,Academico
solicitud relacionada con factura de pago institucional,Financiero
proceso correspondiente a comunicado organizacional,Administrativo
solicitud relacionada con solicitud administrativa interna,Administrativo
solicitud de certificado académico general,Academico
urgente solicitud de homologación de materias,Academico
reporte de gestión administrativa prioritario,Administrativo
solicitud relacionada con derecho de petición,Juridico
prioritario concepto jurídico institucional,Juridico
solicitud relacionada con circular administrativa general,Administrativo
proceso correspondiente a informe de tesorería,Financiero
proceso correspondiente a solicitud de paz y salvo,Academico
notificación judicial general,Juridico
documento asociado a orden de pago administrativa,Financiero
prioritario comunicado organizacional,Administrativo
proceso correspondiente a evaluación de desempeño,Talento_Humano
plan operativo institucional externo,Administrativo
documento asociado a solicitud de certificado académico,Academico
solicitud relacionada con reporte de ingresos económicos,Financiero
prioritario cancelación de semestre académico,Academico
documento asociado a cancelación de semestre académico,Academico
documento asociado a derecho de petición,Juridico
reporte de nómina externo,Talento_Humano
confidencial matrícula académica ordinaria,Academico
urgente plan operativo institucional,Administrativo
solicitud relacionada con reporte de gestión administrativa,Administrativo
general concepto jurídico institucional,Juridico
documento asociado a solicitud de permisos laborales,Talento_Humano
proceso correspondiente a solicitud de presupuesto anual,Financiero
se requiere plan operativo institucional,Administrativo
proceso correspondiente a notificación judicial,Juridico
se requiere acción de tutela,Juridico
proceso correspondiente a demanda administrativa,Juridico
hoja de vida institucional interno,Talento_Humano
acta de comité institucional general,Administrativo
solicitud relacionada con plan operativo institucional,Administrativo
solicitud relacionada con plan operativo institucional,Administrativo
confidencial evaluación de desempeño,Talento_Humano
solicitud relacionada con acta de grado universitario,Academico
solicitud relacionada con plan operativo institucional,Administrativo
notificación judicial urgente,Juridico
solicitud relacionada con registro documental interno,Administrativo
externo concepto jurídico institucional,Juridico
documento asociado a incapacidad médica laboral,Talento_Humano
factura de pago institucional oficial,Financiero
documento asociado a reporte de notas semestrales,Academico
contrato laboral prioritario,Talento_Humano
demanda administrativa institucional,Juridico
solicitud relacionada con registro de calificaciones,Academico
plan operativo institucional urgente,Administrativo
solicitud relacionada con contrato de prestación de servicios,Juridico
concepto jurídico institucional general,Juridico
solicitud administrativa interna general,Administrativo
solicitud relacionada con evaluación de desempeño,Talento_Humano
incapacidad médica laboral oficial,Talento_Humano
institucional reporte de ingresos económicos,Financiero
confidencial control de cartera vencida,Financiero
se requiere acuerdo jurídico,Juridico
se requiere comprobante de egreso,Financiero
prioritario solicitud de paz y salvo,Academico
certificación laboral prioritario,Talento_Humano
proceso correspondiente a afiliación de seguridad social,Talento_Humano
proceso correspondiente a circular administrativa general,Administrativo
se requiere proceso disciplinario,Juridico
solicitud de permisos laborales prioritario,Talento_Humano
confidencial reporte de gestión administrativa,Administrativo
se requiere memorando administrativo interno,Administrativo
solicitud relacionada con hoja de vida institucional,Talento_Humano
interno certificación laboral,Talento_Humano
se requiere plan operativo institucional,Administrativo
solicitud relacionada con acta de grado universitario,Academico
documento asociado a acuerdo jurídico,Juridico
solicitud relacionada con comunicado organizacional,Administrativo
documento asociado a solicitud de permisos laborales,Talento_Humano
institucional evaluación de desempeño,Talento_Humano
solicitud relacionada con solicitud de presupuesto anual,Financiero
institucional solicitud de presupuesto anual,Financiero
solicitud relacionada con concepto jurídico institucional,Juridico
documento asociado a contrato de prestación de servicios,Juridico
documento asociado a incapacidad médica laboral,Talento_Humano
se requiere demanda administrativa,Juridico
documento asociado a factura de pago institucional,Financiero
documento asociado a historial académico del estudiante,Academico
documento asociado a proceso de selección,Talento_Humano
documento asociado a orden de pago administrativa,Financiero
solicitud relacionada con resolución jurídica,Juridico
proceso correspondiente a solicitud de vacaciones,Talento_Humano
documento asociado a concepto jurídico institucional,Juridico
se requiere matrícula académica ordinaria,Academico
documento asociado a afiliación de seguridad social,Talento_Humano
documento asociado a control de inventario,Administrativo
proceso correspondiente a control de cartera vencida,Financiero
documento asociado a cancelación de semestre académico,Academico
notificación judicial interno,Juridico
se requiere notificación judicial,Juridico
urgente acta de reunión administrativa,Administrativo
interno reporte contable mensual,Financiero
solicitud administrativa interna general,Administrativo
se requiere solicitud de paz y salvo,Academico
